MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeFouls,AwayFouls,HomeCorners,AwayCorners,HomeYellow,AwayYellow,HomeRed,AwayRed,Form5Home,Form5Away,OddHome,OddDraw,OddAway,HomeElo,AwayElo,GoalDiff,Favorite,Upset,EloDiff,HomePrecision,AwayPrecision
2000-08-19,Charlton,Man City,4.0,0.0,H,2.0,0.0,H,17.0,8.0,14.0,4.0,13.0,12.0,6.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.2,1608.77,1579.99,4.0,Charlton,False,28.8,0.82,0.5
2000-08-19,Chelsea,West Ham,4.0,2.0,H,1.0,0.0,H,17.0,12.0,10.0,5.0,19.0,14.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,1.47,3.4,5.2,1800.17,1681.36,2.0,Chelsea,False,118.8,0.59,0.42
2000-08-19,Coventry,Middlesbrough,1.0,3.0,A,1.0,1.0,D,6.0,16.0,3.0,9.0,15.0,21.0,8.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,2.15,3.0,3.0,1635.61,1679.18,-2.0,Coventry,True,-43.6,0.5,0.56
2000-08-19,Derby,Southampton,2.0,2.0,D,1.0,2.0,A,6.0,13.0,4.0,6.0,11.0,13.0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.1,3.2,1636.08,1630.02,0.0,Derby,False,6.1,0.67,0.46
2000-08-19,Leeds,Everton,2.0,0.0,H,2.0,0.0,H,17.0,12.0,8.0,6.0,21.0,20.0,6.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.65,3.3,4.3,1782.55,1685.55,2.0,Leeds,False,97.0,0.47,0.5
2000-08-19,Leicester,Aston Villa,0.0,0.0,D,0.0,0.0,D,5.0,5.0,4.0,3.0,12.0,12.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,2.15,3.1,2.9,1687.89,1728.2,0.0,Leicester,False,-40.3,0.8,0.6
2000-08-19,Liverpool,Bradford,1.0,0.0,H,0.0,0.0,D,16.0,3.0,10.0,2.0,8.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.25,4.1,7.2,1770.15,1578.72,1.0,Liverpool,False,191.4,0.62,0.67
2000-08-19,Sunderland,Arsenal,1.0,0.0,H,0.0,0.0,D,8.0,14.0,2.0,7.0,10.0,21.0,2.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,2.85,3.25,2.1,1712.13,1871.71,1.0,Arsenal,True,-159.6,0.25,0.5
2000-08-19,Tottenham,Ipswich,3.0,1.0,H,2.0,1.0,H,20.0,15.0,6.0,5.0,14.0,13.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,3.6,7.0,1676.8,1638.08,2.0,Tottenham,False,38.7,0.3,0.33
2000-08-20,Man United,Newcastle,2.0,0.0,H,1.0,0.0,H,19.0,9.0,9.0,6.0,7.0,13.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.38,3.5,7.0,1931.95,1712.19,2.0,Man United,False,219.8,0.47,0.67
2000-08-21,Arsenal,Liverpool,2.0,0.0,H,1.0,0.0,H,17.0,7.0,12.0,4.0,25.0,20.0,10.0,11.0,2.0,4.0,1.0,2.0,0.0,15.0,2.0,3.2,3.0,1871.71,1770.15,2.0,Arsenal,False,101.6,0.71,0.57
2000-08-22,Bradford,Chelsea,2.0,0.0,H,1.0,0.0,H,12.0,14.0,3.0,6.0,14.0,16.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,15.0,4.8,3.3,1.61,1578.72,1800.17,2.0,Chelsea,True,-221.5,0.25,0.43
2000-08-22,Ipswich,Man United,1.0,1.0,D,1.0,1.0,D,13.0,15.0,8.0,6.0,10.0,7.0,4.0,6.0,1.0,4.0,0.0,0.0,0.0,15.0,7.0,3.8,1.35,1638.08,1931.95,0.0,Man United,False,-293.9,0.62,0.4
2000-08-22,Middlesbrough,Tottenham,1.0,1.0,D,0.0,1.0,A,12.0,11.0,6.0,4.0,9.0,18.0,5.0,5.0,2.0,1.0,0.0,0.0,15.0,15.0,2.15,3.05,3.1,1679.18,1676.8,0.0,Middlesbrough,False,2.4,0.5,0.36
2000-08-23,Everton,Charlton,3.0,0.0,H,0.0,0.0,D,13.0,8.0,8.0,4.0,17.0,15.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,15.0,1.71,3.4,4.0,1685.55,1608.77,3.0,Everton,False,76.8,0.62,0.5
2000-08-23,Man City,Sunderland,4.0,2.0,H,2.0,0.0,H,15.0,9.0,10.0,4.0,24.0,14.0,7.0,3.0,3.0,3.0,0.0,0.0,0.0,15.0,2.4,3.1,2.6,1579.99,1712.13,2.0,Man City,False,-132.1,0.67,0.44
2000-08-23,Newcastle,Derby,3.0,2.0,H,1.0,1.0,D,9.0,10.0,4.0,5.0,23.0,11.0,9.0,6.0,0.0,3.0,1.0,0.0,0.0,5.0,1.6,3.3,4.5,1712.19,1636.08,1.0,Newcastle,False,76.1,0.44,0.5
2000-08-23,Southampton,Coventry,1.0,2.0,A,0.0,1.0,A,12.0,7.0,4.0,5.0,18.0,20.0,6.0,5.0,5.0,3.0,0.0,0.0,5.0,0.0,1.9,2.9,3.2,1630.02,1635.61,-1.0,Southampton,True,-5.6,0.33,0.71
