MatchDate,HomeTeam,AwayTeam,FTResult,Upset,archivo
2021-03-19,Fulham,Leeds,A,True,../reports/2021-03-19_Fulham_vs_Leeds.txt
2018-12-26,Leicester,Man City,H,True,../reports/2018-12-26_Leicester_vs_Man_City.txt
2013-04-20,QPR,Stoke,A,True,../reports/2013-04-20_QPR_vs_Stoke.txt
2014-05-03,Swansea,Southampton,A,True,../reports/2014-05-03_Swansea_vs_Southampton.txt
2004-05-01,Blackburn,Man United,H,True,../reports/2004-05-01_Blackburn_vs_Man_United.txt
2010-09-18,West Brom,Birmingham,H,False,../reports/2010-09-18_West_Brom_vs_Birmingham.txt
2019-12-09,West Ham,Arsenal,A,False,../reports/2019-12-09_West_Ham_vs_Arsenal.txt
2025-04-20,Fulham,Chelsea,A,False,../reports/2025-04-20_Fulham_vs_Chelsea.txt
2006-12-30,Charlton,Aston Villa,H,False,../reports/2006-12-30_Charlton_vs_Aston_Villa.txt
2005-08-13,West Ham,Blackburn,H,False,../reports/2005-08-13_West_Ham_vs_Blackburn.txt
2010-11-07,West Brom,Man City,A,False,../reports/2010-11-07_West_Brom_vs_Man_City.txt
2021-02-20,Burnley,West Brom,D,False,../reports/2021-02-20_Burnley_vs_West_Brom.txt
2005-04-09,Bolton,Fulham,H,False,../reports/2005-04-09_Bolton_vs_Fulham.txt
2010-11-20,Bolton,Newcastle,H,False,../reports/2010-11-20_Bolton_vs_Newcastle.txt
2023-12-17,Liverpool,Man United,D,False,../reports/2023-12-17_Liverpool_vs_Man_United.txt
